區塊,欄位名稱,元件類型,預設值/選項,說明
1 單週期最佳化,最佳化週期,下拉選單,依已匯入週期,在這個週期的K棒上找最佳組合
1 單週期最佳化,找方向,下拉選單,多、空都找 / 只找做多 / 只找做空,
1 單週期最佳化,多空排用幾條,下拉選單,4條(MA1>2>3>4) / 3條(MA1>2>3) / 3條和4條都測,
1 單週期最佳化,排序依據,下拉選單,勝率 / 總點數 / 期望值(點/筆) / 獲利因子 / 報酬/回撤比(安全) / 最大回撤最小(最安全),
1 單週期最佳化,最少交易次數,數字輸入,30,
1 單週期最佳化,樣本內比例(%),數字輸入,70,前面比例找最佳組合、剩下驗證樣本外
1 單週期最佳化,出場方式,下拉選單,訊號＋掃停損停利點數 / 只用均線/K棒訊號(不設點數停損停利),
1 單週期最佳化,開始按鈕,按鈕,▶ 開始自動找最佳組合,跑完結果顯示在右邊「A 單週期結果」表格
2 跨週期最佳化,做,下拉選單,多 / 空,
2 跨週期最佳化,週期配對,下拉選單,用指定的進/出場週期 / 自動比對所有週期配對,
2 跨週期最佳化,進場週期,下拉選單,依已匯入週期,
2 跨週期最佳化,出場週期,下拉選單,依已匯入週期,
2 跨週期最佳化,多空排用幾條,下拉選單,4條 / 3條 / 3和4都測,
2 跨週期最佳化,排序依據,下拉選單,同單週期6種,
2 跨週期最佳化,最少交易次數,數字輸入,20,
2 跨週期最佳化,樣本內比例(%),數字輸入,70,
2 跨週期最佳化,開始按鈕,按鈕,▶ 開始自動找最佳組合,跑完結果顯示在右邊「B 跨週期結果」表格
3 共用選項,夜盤不停損,勾選框,預設不勾,僅日盤執行停損停利
3 共用選項,加停損(點),勾選+數字輸入,預設不勾/80,勾了兩邊都用固定點數；不勾單週期自動掃描
3 共用選項,加移動停損(點),勾選+數字輸入,預設不勾/80,回吐鎖利
3 共用選項,開高走低日不做多排(bull),勾選框,預設不勾,含多排候選組合在標記日整天不算成立
3 共用選項,只做日盤(夜盤不進場),勾選框,預設不勾,
3 共用選項,當日平倉(不留倉過夜),勾選框,預設不勾,
3 共用選項,納入壓力支撐過濾(60分/日線),勾選框,預設不勾,實驗性；會同時測有無過濾
3 共用選項-更多共用選項(可收合),搜尋「再次進場」條件,勾選框,預設不勾,實驗性，僅跨週期引擎支援
3 共用選項-更多共用選項(可收合),開高走低日整天不進場(多空都不做),勾選框,預設不勾,
3 共用選項-更多共用選項(可收合),半夜12點後不留倉,勾選框,預設不勾,
